tree,species,dbh_cm,height_m,model_ht,site,species_matched,wood_density,agb,prec_90m
1,Eucalyptus_cullenii,32.5,15,11.288748126437046,station_creek,Eucalyptus cullenii,0.9771175,0.8265412300301462,1129
2,Eucalyptus_cullenii,43.2,14,11.955819793824372,station_creek,Eucalyptus cullenii,0.9771175,1.3467542952286138,1129
3,Acacia_disparrima,20.9,9.5,8.645594327177324,station_creek,Racosperma disparrimum,0.6097,0.14108221185389624,1129
3,Acacia_disparrima,10.5,3.8112479865505784,3.8112479865505784,station_creek,Racosperma disparrimum,0.6097,0.01509286117154232,1129
4,Corymbia_clarksoniana,16.7,6.919828515180993,6.919828515180993,station_creek,Corymbia clarksoniana,0.8453,0.0919291549888854,1129
5,Callitris_intratropica,22.8,6,9.28570158210886,station_creek,Callitris columellaris,0.5530328371730769,0.0970743302458786,1129
6,Terminalia_subacroptera,10.5,4.5,3.8112479865505784,station_creek,Terminalia subacroptera,0.654,0.01900710053346365,1129
7,Eucalyptus_cullenii,45.3,14,12.001297171402896,station_creek,Eucalyptus cullenii,0.9771175,1.4775010080904998,1129
8,Eucalyptus_cullenii,46.2,15,12.01639790927286,station_creek,Eucalyptus cullenii,0.9771175,1.6422880691463773,1129
9,Corymbia_clarksoniana,22.8,8,9.28570158210886,station_creek,Corymbia clarksoniana,0.8453,0.19448330267354944,1129
10,Corymbia_clarksoniana,35.2,12.5,11.557424934109337,station_creek,Corymbia clarksoniana,0.8453,0.7017996126074018,1129
11,Corymbia_clarksoniana,21.1,10.5,8.7172099822226,station_creek,Corymbia clarksoniana,0.8453,0.21800064621526088,1129
12,Corymbia_clarksoniana,14.2,5,5.718178120082107,station_creek,Corymbia clarksoniana,0.8453,0.04877971345363959,1129
13,Corymbia_clarksoniana,16.2,4,6.688356713454342,station_creek,Corymbia clarksoniana,0.8453,0.05074129328742183,1129
14,Terminalia_subacroptera,43.4,11,11.9608572756563,station_creek,Terminalia subacroptera,0.654,0.7257685742052338,1129
15,Terminalia_subacroptera,16.1,5.5,6.641481156406993,station_creek,Terminalia subacroptera,0.654,0.05325213711260242,1129
16,Larsenaikia_ochreata,12.1,3.5,4.644288526065775,station_creek,Larsenaikia ochreata,0.6663,0.01997672338870994,1129
17,Eucalyptus_cullenii,24.3,8,9.728087473321368,station_creek,Eucalyptus cullenii,0.9771175,0.25370113262142585,1129
18,Corymbia_clarksoniana,21,9,8.681526616382207,station_creek,Corymbia clarksoniana,0.8453,0.18581913106414233,1129
19,Santalum_acuminatum,24.1,7,9.67225402353596,station_creek,Santalum acuminatum,0.6768730000000001,0.15314507558904905,1129
20,Eucalyptus_cullenii,24.5,15,9.782965919771966,station_creek,Eucalyptus cullenii,0.9771175,0.4761243559879024,1129
21,Corymbia_clarksoniana,17.8,9.5,7.41095937486756,station_creek,Corymbia clarksoniana,0.8453,0.1418586281316568,1129
22,Larsenaikia_ochreata,11.4,4.5,4.279991757008035,station_creek,Larsenaikia ochreata,0.6663,0.02272639157190638,1129
23,Eucalyptus_cullenii,43,16.5,11.950616838081528,station_creek,Eucalyptus cullenii,0.9771175,1.5667434493467205,1129
24,Santalum_acuminatum,13.7,5,5.466409064922514,station_creek,Santalum acuminatum,0.6768730000000001,0.03661536381505417,1129
25,Corymbia_clarksoniana,15.7,12,6.452121801714172,station_creek,Corymbia clarksoniana,0.8453,0.1394616149531058,1129
26,Brachychiton_diversifolius,39.3,13,11.818153524239571,station_creek,Brachychiton diversifolius,0.387225,0.4220173455862597,1129
27,Corymbia_clarksoniana,27,12.5,10.391147494117908,station_creek,Corymbia clarksoniana,0.8453,0.41819988848832246,1129
28,Acacia_disparrima,24.3,6,9.728087473321368,station_creek,Racosperma disparrimum,0.6097,0.12091147996711972,1129
29,Eucalyptus_cullenii,26.2,12.5,10.211799491109335,station_creek,Eucalyptus cullenii,0.9771175,0.4542672481261993,1129
30,Corymbia_clarksoniana,22.7,8.5,9.254249707814106,station_creek,Corymbia clarksoniana,0.8453,0.20457521538089984,1129
31,Eucalyptus_cullenii,11.5,4.5,4.332101631792116,station_creek,Eucalyptus cullenii,0.9771175,0.03359082965375066,1129
32,Larsenaikia_ochreata,16,4,6.594417384582216,station_creek,Larsenaikia ochreata,0.6663,0.03926174152968392,1129
33,Eucalyptus_cullenii,45.4,4.5,12.0030913014965,station_creek,Eucalyptus cullenii,0.9771175,0.4901303218773379,1129
34,Acacia_disparrima,11,5.5,4.071516674079509,station_creek,Racosperma disparrimum,0.6097,0.02364182383713417,1129
35,Terminalia_subacroptera,24.6,7,9.81004887468221,station_creek,Terminalia subacroptera,0.654,0.15414873415092883,1129
36,Corymbia_clarksoniana,14.6,6.5,5.917249706362318,station_creek,Corymbia clarksoniana,0.8453,0.06652699131630259,1129
37,Eucalyptus_cullenii,13.9,5.5,5.567482110422606,station_creek,Eucalyptus cullenii,0.9771175,0.05915098864129214,1129
38,Eucalyptus_cullenii,15.3,10,6.25991583366954,station_creek,Eucalyptus cullenii,0.9771175,0.1278559094288255,1129
39,Eucalyptus_cullenii,16.8,7,6.965525887207932,station_creek,Eucalyptus cullenii,0.9771175,0.10834840880722374,1129
40,Corymbia_clarksoniana,19.7,9.5,8.195104717308322,station_creek,Corymbia clarksoniana,0.8453,0.17291552379463626,1129
