year,tree,species,x_coord,y_coord,dbh_cm,height_m,notes
2018,1,Eucalyptus cullenii,1.2,46.5,32.5,15.0,
2018,2,Eucalyptus cullenii,4.5,46.2,43.2,14.0,
2018,3,Acacia disparrima subsp. calidestris,6.2,42.5,20.9,9.5,
2018,3,Acacia disparrima subsp. calidestris,6.2,42.5,10.5,,
2018,4,Corymbia clarksoniana,11.0,48.0,16.7,,"check id, no height"
2018,5,Callitris intratropica,21.9,49.7,22.8,6.0,
2018,6,Terminalia subacroptera,26.5,48.0,10.5,4.5,
2018,7,Eucalyptus cullenii,47.0,45.0,45.3,14.0,
2018,8,Eucalyptus cullenii,5.0,35.0,46.2,15.0,
2018,9,Corymbia clarksoniana,2.5,31.0,22.8,8.0,
2018,10,Corymbia clarksoniana,12.9,39.0,35.2,12.5,
2018,11,Corymbia clarksoniana,15.8,37.2,21.1,10.5,
2018,12,Corymbia clarksoniana,20.5,31.0,14.2,5.0,
2018,13,Corymbia clarksoniana,29.3,29.5,16.2,4.0,
2018,14,Terminalia subacroptera,46.0,24.9,43.4,11.0,
2018,15,Terminalia subacroptera,37.5,22.2,16.1,5.5,
2018,16,Larsenaikia ochreata,35.5,23.0,12.1,3.5,
2018,17,Eucalyptus cullenii,28.5,24.6,24.3,8.0,
2018,18,Corymbia clarksoniana,28.0,26.0,21.0,9.0,
2018,19,Santalum acuminatum,26.3,26.5,24.1,7.0,
2018,20,Eucalyptus cullenii,18.3,24.8,24.5,15.0,
2018,21,Corymbia clarksoniana,13.0,23.1,17.8,9.5,
2018,22,Larsenaikia ochreata,6.0,16.7,11.4,4.5,
2018,23,Eucalyptus cullenii,6.5,14.6,43.0,16.5,termite nest
2018,24,Santalum acuminatum,6.5,11.6,13.7,5.0,
2018,25,Corymbia clarksoniana,13.1,11.9,15.7,12.0,
2018,26,Brachychiton diversifolius subsp. orientalis,17.9,13.3,39.3,13.0,
2018,27,Corymbia clarksoniana,21.8,18.5,27.0,12.5,
2018,28,Acacia disparrima subsp. calidestris,25.5,17.1,24.3,6.0,dbh taken @ 1 m
2018,29,Eucalyptus cullenii,26.0,16.4,26.2,12.5,
2018,30,Corymbia clarksoniana,23.3,12.0,22.7,8.5,
2018,31,Eucalyptus cullenii,36.0,17.9,11.5,4.5,
2018,32,Larsenaikia ochreata,40.5,14.8,16.0,4.0,dbh taken below fork
2018,33,Eucalyptus cullenii,42.7,14.1,45.4,4.5,
2018,34,Acacia disparrima subsp. calidestris,49.1,16.1,11.0,5.5,
2018,35,Terminalia subacroptera,49.9,15.3,24.6,7.0,
2018,36,Corymbia clarksoniana,1.0,1.0,14.6,6.5,
2018,37,Eucalyptus cullenii,4.0,3.9,13.9,5.5,
2018,38,Eucalyptus cullenii,12.9,7.7,15.3,10.0,
2018,39,Eucalyptus cullenii,14.6,9.5,16.8,7.0,
2018,40,Corymbia clarksoniana,15.8,2.6,19.7,9.5,
2018,41,Acacia disparrima subsp. calidestris,17.6,1.1,16.1,6.0,
2018,41,Acacia disparrima subsp. calidestris,17.6,1.1,14.6,,
2018,42,Larsenaikia ochreata,24.8,3.8,12.7,4.0,
2018,43,Ficus opposita,26.7,6.1,17.2,4.5,
2018,44,Larsenaikia ochreata,28.8,6.3,12.1,4.0,
2018,45,Larsenaikia ochreata,29.1,6.8,10.1,3.5,
2018,46,Eucalyptus cullenii,28.0,4.6,31.4,12.5,
2018,47,Eucalyptus cullenii,43.5,7.5,43.0,5.5,tree largely dead
2018,48,Corymbia clarksoniana,48.1,5.2,32.9,9.5,
